cnn,monthly_frequency,frequency_group
1253000,8,7-8
1254000,8,7-8
1255000,8,7-8
1256000,8,7-8
1257000,8,7-8
1258000,8,7-8
1259000,8,7-8
1260000,8,7-8
1261000,8,7-8
1262000,8,7-8
1263000,20,17-20
1264000,20,17-20
1265000,20,17-20
1266000,20,17-20
1267000,6,6
1268000,6,6
1269000,4,4
1270000,4,4
1271000,4,4
1272000,4,4
1273000,4,4
1274000,4,4
1275000,4,4
1276000,4,4
1277000,4,4
1278000,4,4
1279000,4,4
1280000,4,4
1281000,4,4
1282000,4,4
1283000,4,4
1284000,4,4
1285000,4,4
1286000,4,4
1287000,4,4
1290000,4,4
1291000,4,4
1292000,4,4
1293000,4,4
1294000,4,4
1295000,4,4
1296000,4,4
1297000,4,4
1298000,6,6
1299000,6,6
1300000,6,6
1301000,6,6
1302000,6,6
1303000,6,6
1304000,6,6
1305000,6,6
1306000,4,4
1307000,8,7-8
1308000,8,7-8
1309000,5,5
1310000,4,4
1311000,4,4
1312000,4,4
1313000,4,4
1314000,4,4
1321000,8,7-8
1324000,8,7-8
1325000,8,7-8
1327000,8,7-8
1328000,8,7-8
1329000,8,7-8
1330000,20,17-20
1331000,20,17-20
1332000,20,17-20
1333000,20,17-20
1334000,20,17-20
1335000,20,17-20
1336000,20,17-20
1337000,20,17-20
1338000,20,17-20
1339000,20,17-20
1340000,20,17-20
1341000,20,17-20
1342000,20,17-20
1343000,20,17-20
1344000,20,17-20
1345000,20,17-20
1346000,20,17-20
1347000,20,17-20
1348000,20,17-20
1349000,20,17-20
1350000,6,6
1351000,6,6
1352000,6,6
1353000,4,4
1354000,4,4
1355000,4,4
1356000,4,4
1357000,4,4
1358000,15,13-16
1359000,15,13-16
1360000,15,13-16
1361000,15,13-16
1362000,15,13-16
1363000,6,6
1364000,4,4
1365000,4,4
1366000,4,4
1367000,4,4
1368000,4,4
1369000,2,2
1370000,4,4
1371000,4,4
1372000,4,4
1373000,4,4
1374000,6,6
1375000,6,6
1376000,6,6
1377000,6,6
1378000,6,6
1379000,6,6
1381000,6,6
1382000,6,6
1383000,6,6
1384000,6,6
1385000,6,6
1386000,6,6
1387000,6,6
1388000,4,4
1389000,4,4
1390000,4,4
1391000,4,4
1392000,4,4
1393000,4,4
1395000,4,4
1396000,4,4
1405000,8,7-8
1406000,8,7-8
