cnn,corridor,limits,monthly_frequency,frequency_group,days_cleaned,time_ranges,schedule_summary,block_sides,street_sides,heatmap_cells,holidays
12100000,Stanyan St,17th St  -  Belgrave Ave,38,31-40,"Tues, Wed","8 AM - 10 AM, 9 AM - 11 AM","Tues 8 AM - 10 AM, Wed 9 AM - 11 AM","East, West","L, R","Tues|8-10, Wed|8-10",0
12103000,Staples Ave,Circular Ave  -  Detroit St,56,51-60,"Fri, Tues",1 PM - 3 PM,"Fri 1 PM - 3 PM, Tues 1 PM - 3 PM","North, South","L, R","Fri|12-14, Tues|12-14",0
12104000,Staples Ave,Detroit St  -  Edna St,56,51-60,"Fri, Tues",1 PM - 3 PM,"Fri 1 PM - 3 PM, Tues 1 PM - 3 PM","North, South","L, R","Fri|12-14, Tues|12-14",0
12105000,Staples Ave,Edna St  -  Foerster St,56,51-60,"Fri, Mon",1 PM - 3 PM,"Fri 1 PM - 3 PM, Mon 1 PM - 3 PM","North, South","L, R","Fri|12-14, Mon|12-14",0
12106000,Staples Ave,Foerster St  -  Gennessee St,54,51-60,"Fri, Tues","1 PM - 3 PM, 12 PM - 2 PM","Fri 1 PM - 3 PM, Tues 12 PM - 2 PM","North, South","L, R","Fri|12-14, Tues|12-14",0
12107000,Staples Ave,Gennessee St  -  Phelan Ave,54,51-60,"Fri, Tues","1 PM - 3 PM, 12 PM - 2 PM","Fri 1 PM - 3 PM, Tues 12 PM - 2 PM","North, South","L, R","Fri|12-14, Tues|12-14",0
12108000,Staples Ave,Phelan Ave  -  Hazelwood Ave,54,51-60,"Fri, Tues","1 PM - 3 PM, 12 PM - 2 PM","Fri 1 PM - 3 PM, Tues 12 PM - 2 PM","North, South","L, R","Fri|12-14, Tues|12-14",0
1211000,23rd Ave,Lake St  -  California St,40,31-40,"Thu, Tues",9 AM - 11 AM,"Thu 9 AM - 11 AM, Tues 9 AM - 11 AM","East, West","L, R","Thu|8-10, Tues|8-10",0
12110000,Starr King Way,Franklin St  -  Geary Blvd,28,21-30,"Thu, Tues",6 AM - 8 AM,"Thu 6 AM - 8 AM, Tues 6 AM - 8 AM","NorthEast, SouthWest","L, R","Thu|6-8, Tues|6-8",0
12116000,Steiner St,Duboce Ave  -  Hermann St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12117000,Steiner St,Hermann St  -  Germania St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12118000,Steiner St,Germania St  -  Waller St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12119000,Steiner St,Waller St  -  Laussat St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
1212000,23rd Ave,California St  -  Clement St,48,41-50,"Thu, Tues","7 AM - 8 AM, 8 AM - 10 AM","Thu 8 AM - 10 AM, Tues 7 AM - 8 AM","East, West","L, R","Thu|8-10, Tues|6-8",0
12120000,Steiner St,Laussat St  -  Haight St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12121000,Steiner St,Haight St  -  Page St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12122000,Steiner St,Page St  -  Oak St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12123000,Steiner St,Oak St  -  Fell St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12124000,Steiner St,Fell St  -  Hayes St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12125000,Steiner St,Hayes St  -  Grove St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12126000,Steiner St,Grove St  -  Fulton St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
